word,meaning,source_sentence,target_sentence,input_text,target_text
Xéo xẹo xọ,"Lệch, nghiêng ngả",Viết chữ gì mà xéo xẹo vậy con.,Viết chữ gì mà xiêu vẹo thế con.,"Xéo xẹo xọ [SEP] Lệch, nghiêng ngả [SEP] Viết chữ gì mà xéo xẹo vậy con.",Viết chữ gì mà xiêu vẹo thế con.
Mót máy,Mót lúa nhặt nhạnh lặt vặt táy máy tay chân nhặt đồ phế liệu về tái chế.,Hai má con tôi mót máy cũng được cả giạ.,Hai mẹ con tôi mót lúa cũng được cả giạ.,Mót máy [SEP] Mót lúa nhặt nhạnh lặt vặt táy máy tay chân nhặt đồ phế liệu về tái chế. [SEP] Hai má con tôi mót máy cũng được cả giạ.,Hai mẹ con tôi mót lúa cũng được cả giạ.
Ngõ (2),"Để, nhằm, để bề (xin phép).",Tôi đến đây ngõ xin ông viết giúp giùm tôi lá đơn,Tôi đến đây để xin ông viết giúp cho tôi lá đơn,"Ngõ (2) [SEP] Để, nhằm, để bề (xin phép). [SEP] Tôi đến đây ngõ xin ông viết giúp giùm tôi lá đơn",Tôi đến đây để xin ông viết giúp cho tôi lá đơn
Sén Sến,"Vớ lấy, mua về (hàm ý chê bai)","Hổm rày con nhỏ đó cứ sén hoài, có chuyện gì vậy?","Dạo này cô bé đó cứ vớ lấy mãi, có chuyện gì vậy?","Sén Sến [SEP] Vớ lấy, mua về (hàm ý chê bai) [SEP] Hổm rày con nhỏ đó cứ sén hoài, có chuyện gì vậy?","Dạo này cô bé đó cứ vớ lấy mãi, có chuyện gì vậy?"
Quán chi,"Không màng tới, sá gì","Chuyện quán chi này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện không màng tới này nghe lạ nhưng thật đó, tớ chứng kiến.","Quán chi [SEP] Không màng tới, sá gì [SEP] Chuyện quán chi này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện không màng tới này nghe lạ nhưng thật đó, tớ chứng kiến."
Kiếng chiếu hậu,Gương chiếu hậu kính râm kính mát kính lão kính cận kính chiếu yêu.,Tôi chạy xe mà không có kiếng chiếu hậu tôi chạy không được.,Tôi lái xe mà không có gương chiếu hậu tôi đi không được.,Kiếng chiếu hậu [SEP] Gương chiếu hậu kính râm kính mát kính lão kính cận kính chiếu yêu. [SEP] Tôi chạy xe mà không có kiếng chiếu hậu tôi chạy không được.,Tôi lái xe mà không có gương chiếu hậu tôi đi không được.
Nhẩy nhót,"Nhảy tung tăng một cách vui vẻ, thoải mái.","Thi xong đi rồi, cho con tha hồ mà nhẩy nhót, vui chơi.",Lời hứa cho phép trẻ em được vui chơi thỏa thích sau khi hoàn thành việc học.,"Nhẩy nhót [SEP] Nhảy tung tăng một cách vui vẻ, thoải mái. [SEP] Thi xong đi rồi, cho con tha hồ mà nhẩy nhót, vui chơi.",Lời hứa cho phép trẻ em được vui chơi thỏa thích sau khi hoàn thành việc học.
Ngóm,"Khóm, bụi, bó nhỏ.",Một ngóm rau thơm,Một mớ rau thơm,"Ngóm [SEP] Khóm, bụi, bó nhỏ. [SEP] Một ngóm rau thơm",Một mớ rau thơm
Ne,"Khuân vác, bưng bê, đi ục ịch nặng nề bê đồ trộm.",Thằng nhỏ... đi lại để cho nó ne cái giỏ nặng,Thằng bé... đi lại để cho nó vác cái giỏ nặng,"Ne [SEP] Khuân vác, bưng bê, đi ục ịch nặng nề bê đồ trộm. [SEP] Thằng nhỏ... đi lại để cho nó ne cái giỏ nặng",Thằng bé... đi lại để cho nó vác cái giỏ nặng
Ăn lòi bản họng,"Ăn quá nhiều, quá mức bình thường (hàm ý chê bai)","Cậu ăn lòi bản họng rồi, vậy mà vẫn không chịu chia bớt cho em","Cậu tọng nhồi nhét ngập đầy mồm rồi, vậy mà vẫn không chịu chia bớt cho em","Ăn lòi bản họng [SEP] Ăn quá nhiều, quá mức bình thường (hàm ý chê bai) [SEP] Cậu ăn lòi bản họng rồi, vậy mà vẫn không chịu chia bớt cho em","Cậu tọng nhồi nhét ngập đầy mồm rồi, vậy mà vẫn không chịu chia bớt cho em"
Xiếm,Thím (vợ chú),Tụi bây thấy xiếm không? Tao thấy từ hồi nãy rồi.,Các bạn thấy thím không? Tớ thấy từ nãy rồi.,Xiếm [SEP] Thím (vợ chú) [SEP] Tụi bây thấy xiếm không? Tao thấy từ hồi nãy rồi.,Các bạn thấy thím không? Tớ thấy từ nãy rồi.
Hột,"Hạt, quả trứng, hạt kim cương, giọt sương.",Chị bán cho tôi một chục hột vịt lộn đi chị.,Chị bán cho tôi mười quả trứng vịt lộn nhé.,"Hột [SEP] Hạt, quả trứng, hạt kim cương, giọt sương. [SEP] Chị bán cho tôi một chục hột vịt lộn đi chị.",Chị bán cho tôi mười quả trứng vịt lộn nhé.
Từ ngữ,Ý nghĩa,"Bà Tư hay nói tới chuyện từ ngữ hoài, tao quen tai rồi.","Bà Tư hay nói tới chuyện ý nghĩa mãi, tớ quen tai rồi.","Từ ngữ [SEP] Ý nghĩa [SEP] Bà Tư hay nói tới chuyện từ ngữ hoài, tao quen tai rồi.","Bà Tư hay nói tới chuyện ý nghĩa mãi, tớ quen tai rồi."
Mắc cười,"Buồn cười nực cười, vô lý.",Thấy mắc cười không ai nín được.,Thấy buồn cười không ai nhịn được.,"Mắc cười [SEP] Buồn cười nực cười, vô lý. [SEP] Thấy mắc cười không ai nín được.",Thấy buồn cười không ai nhịn được.
Mình dây,"Thân hình gầy, mảnh khảnh.","Thật ra, tôi là người mình dây, ốm nhưng dẻo dai lắm","Thật ra, tôi là người gầy mảnh khảnh, gầy nhưng dẻo dai lắm","Mình dây [SEP] Thân hình gầy, mảnh khảnh. [SEP] Thật ra, tôi là người mình dây, ốm nhưng dẻo dai lắm","Thật ra, tôi là người gầy mảnh khảnh, gầy nhưng dẻo dai lắm"
Phai lạt,Phai nhạt màu.,Để ngoài nắng riết nó phai lạt chớ lúc mới nó đẹp lắm chớ.,"Để phơi nắng nhiều nên bị bạc màu, chứ lúc mới mua thì đẹp lắm.",Phai lạt [SEP] Phai nhạt màu. [SEP] Để ngoài nắng riết nó phai lạt chớ lúc mới nó đẹp lắm chớ.,"Để phơi nắng nhiều nên bị bạc màu, chứ lúc mới mua thì đẹp lắm."
Cá nước,Hình thức đánh cược thêm dựa trên lá bài lật mẫu (trong bài các tê),Cá nước ván rồi là gì? - Là 3 cơ,Ván bài vừa rồi cược theo lá bài nào? - Là lá 3 cơ,Cá nước [SEP] Hình thức đánh cược thêm dựa trên lá bài lật mẫu (trong bài các tê) [SEP] Cá nước ván rồi là gì? - Là 3 cơ,Ván bài vừa rồi cược theo lá bài nào? - Là lá 3 cơ
Bớt,Vết màu xanh xám hay đỏ nổi trên da tự nhiên,Thằng bé có cái bớt lớn bên vai trái,Đứa trẻ sinh ra đã có một vết chàm nhỏ ở trên mặt,Bớt [SEP] Vết màu xanh xám hay đỏ nổi trên da tự nhiên [SEP] Thằng bé có cái bớt lớn bên vai trái,Đứa trẻ sinh ra đã có một vết chàm nhỏ ở trên mặt
Rề rề,"Kéo dài, dây dưa","Anh Ba hay nói tới chuyện rề rề hoài, tao quen tai rồi.","Anh Ba hay nói tới chuyện kéo dài mãi, tớ quen tai rồi.","Rề rề [SEP] Kéo dài, dây dưa [SEP] Anh Ba hay nói tới chuyện rề rề hoài, tao quen tai rồi.","Anh Ba hay nói tới chuyện kéo dài mãi, tớ quen tai rồi."
Bi thì bị,Bao nhiêu thì bao nhiêu Thế nào cũng được,"Bi nhiêu thì bị, miễn tốt, có chất lượng là được rồi","Bao nhiêu thì bao nhiêu, miễn tốt, có chất lượng là được rồi","Bi thì bị [SEP] Bao nhiêu thì bao nhiêu Thế nào cũng được [SEP] Bi nhiêu thì bị, miễn tốt, có chất lượng là được rồi","Bao nhiêu thì bao nhiêu, miễn tốt, có chất lượng là được rồi"
Quánh (2),Đánh đập hoặc chơi bài,Tụi bây thấy quánh không? Tao thấy từ hồi nãy rồi.,Các bạn thấy đánh đập hoặc chơi bài không? Tớ thấy từ nãy rồi.,Quánh (2) [SEP] Đánh đập hoặc chơi bài [SEP] Tụi bây thấy quánh không? Tao thấy từ hồi nãy rồi.,Các bạn thấy đánh đập hoặc chơi bài không? Tớ thấy từ nãy rồi.
Thí chốt Thí mạng,Liều mạng Bỏ cái nhỏ,"Hổm rày tụi nó cứ thí chốt hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ liều mạng mãi, có chuyện gì vậy?","Thí chốt Thí mạng [SEP] Liều mạng Bỏ cái nhỏ [SEP] Hổm rày tụi nó cứ thí chốt hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ liều mạng mãi, có chuyện gì vậy?"
Kìa,"Cách chỉ thời gian quá khứ lùi dần (hôm kia, kìa, kía, kịa) hoặc không gian rất xa.","Hôm kía hôm kịa gì đó, nó có tới chơi nhà.","Vài hôm trước đó, nó có tới chơi nhà.","Kìa [SEP] Cách chỉ thời gian quá khứ lùi dần (hôm kia, kìa, kía, kịa) hoặc không gian rất xa. [SEP] Hôm kía hôm kịa gì đó, nó có tới chơi nhà.","Vài hôm trước đó, nó có tới chơi nhà."
Thố,"Liễn, thố sành đựng đồ ăn",Chú Bảy hay thố mấy thứ vặt vãnh sau bữa cơm.,Chú Bảy hay liễn mấy thứ vặt vãnh sau bữa cơm.,"Thố [SEP] Liễn, thố sành đựng đồ ăn [SEP] Chú Bảy hay thố mấy thứ vặt vãnh sau bữa cơm.",Chú Bảy hay liễn mấy thứ vặt vãnh sau bữa cơm.
Lăm lủi,"Lầm lũi, cắm cúi lấm tấm chấm rách thủng.",Bả đi lăm lủi để riết về nhà,Bà ấy đi lầm lũi rảo bước về nhà,"Lăm lủi [SEP] Lầm lũi, cắm cúi lấm tấm chấm rách thủng. [SEP] Bả đi lăm lủi để riết về nhà",Bà ấy đi lầm lũi rảo bước về nhà
Sắc lẹm,"Rất sắc bén, sắc sảo","Cái kiểu sắc lẹm đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu rất sắc bén đó quen lắm rồi, ai ở đây cũng biết.","Sắc lẹm [SEP] Rất sắc bén, sắc sảo [SEP] Cái kiểu sắc lẹm đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu rất sắc bén đó quen lắm rồi, ai ở đây cũng biết."
Xa biệt mù san dã,Xa thăm thẳm,Từ đây vô đó còn xa biệt mù san dã.,Từ đây vào đó còn xa tít tắp mù khơi.,Xa biệt mù san dã [SEP] Xa thăm thẳm [SEP] Từ đây vô đó còn xa biệt mù san dã.,Từ đây vào đó còn xa tít tắp mù khơi.
Bít tông,"Sự che chở, ô dù (piston)","Mày đụng tới nó không dễ đâu, nó có bít tông mạnh lắm","Cậu đụng tới nó không dễ đâu, nó có cơ cánh mạnh lắm","Bít tông [SEP] Sự che chở, ô dù (piston) [SEP] Mày đụng tới nó không dễ đâu, nó có bít tông mạnh lắm","Cậu đụng tới nó không dễ đâu, nó có cơ cánh mạnh lắm"
Làm khuy,Thùa khuyết (cúc áo).,Thợ may nào mà làm khuy cái áo khéo quá vậy chị?,Thợ may nào mà thùa khuyết cái áo khéo thế hả chị?,Làm khuy [SEP] Thùa khuyết (cúc áo). [SEP] Thợ may nào mà làm khuy cái áo khéo quá vậy chị?,Thợ may nào mà thùa khuyết cái áo khéo thế hả chị?
Cột cẳng,"Buộc chân Làm vướng víu, cản trở người khác","Con cột cẳng con gà này giùm cho má, Ông vừa giao cho tôi, mà lại vừa cột cẳng cái kiểu đó",Con buộc chân con gà này lại giúp mẹ / Ông vừa giao việc vừa làm khó dễ cản trở kiểu đó,"Cột cẳng [SEP] Buộc chân Làm vướng víu, cản trở người khác [SEP] Con cột cẳng con gà này giùm cho má, Ông vừa giao cho tôi, mà lại vừa cột cẳng cái kiểu đó",Con buộc chân con gà này lại giúp mẹ / Ông vừa giao việc vừa làm khó dễ cản trở kiểu đó
Dạ cổ hoài lang,"Tên bản nhạc cổ nổi tiếng của Cao Văn Lầu, khởi đầu dòng nhạc Vọng cổ","Dân Nam Bộ này, nhiều người thuộc bài Dạ cổ hoài lang lắm",Người dân Nam Bộ nhiều người thuộc bài Dạ cổ hoài lang lắm,"Dạ cổ hoài lang [SEP] Tên bản nhạc cổ nổi tiếng của Cao Văn Lầu, khởi đầu dòng nhạc Vọng cổ [SEP] Dân Nam Bộ này, nhiều người thuộc bài Dạ cổ hoài lang lắm",Người dân Nam Bộ nhiều người thuộc bài Dạ cổ hoài lang lắm
Lua tua,"Tua tủa, lỉa chỉa ra nhiều hướng tơi tả.",Ba cái gai lủa tủa thấy mà ghê.,Mấy cái gai tua tủa thấy mà ghê.,"Lua tua [SEP] Tua tủa, lỉa chỉa ra nhiều hướng tơi tả. [SEP] Ba cái gai lủa tủa thấy mà ghê.",Mấy cái gai tua tủa thấy mà ghê.
Quậy nát nước,Gây rối khắp nơi,Hai vợ chồng nó quậy nát nước.,Hai vợ chồng chúng nó làm loạn hết cả lên.,Quậy nát nước [SEP] Gây rối khắp nơi [SEP] Hai vợ chồng nó quậy nát nước.,Hai vợ chồng chúng nó làm loạn hết cả lên.
Xì phé,Đánh bài Poker,"Cái kiểu xì phé đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu đánh bài poker đó quen lắm rồi, ai ở đây cũng biết.","Xì phé [SEP] Đánh bài Poker [SEP] Cái kiểu xì phé đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu đánh bài poker đó quen lắm rồi, ai ở đây cũng biết."
Vắt,"Gài, cài bút súng vào áo","Hổm rày mấy đứa cứ vắt hoài, có chuyện gì vậy?","Dạo này mấy đứa cứ gài mãi, có chuyện gì vậy?","Vắt [SEP] Gài, cài bút súng vào áo [SEP] Hổm rày mấy đứa cứ vắt hoài, có chuyện gì vậy?","Dạo này mấy đứa cứ gài mãi, có chuyện gì vậy?"
Cà tưng Cà từng,Nhảy cẫng lên nhiều lần để tỏ ý vui mừng tột độ,Có chuyện gì vui mà mày nhảy cà từng vậy?,Có chuyện gì vui mà cậu nhảy cẫng lên thế?,Cà tưng Cà từng [SEP] Nhảy cẫng lên nhiều lần để tỏ ý vui mừng tột độ [SEP] Có chuyện gì vui mà mày nhảy cà từng vậy?,Có chuyện gì vui mà cậu nhảy cẫng lên thế?
Hộ sản,"Hộ sinh, người giúp đỡ và chăm sóc thai phụ sinh đẻ.",Ngành hộ sanh bây giờ coi bộ phụ nữ cũng ít chịu theo học.,Ngành nữ hộ sinh bây giờ xem ra phụ nữ cũng ít người theo học.,"Hộ sản [SEP] Hộ sinh, người giúp đỡ và chăm sóc thai phụ sinh đẻ. [SEP] Ngành hộ sanh bây giờ coi bộ phụ nữ cũng ít chịu theo học.",Ngành nữ hộ sinh bây giờ xem ra phụ nữ cũng ít người theo học.
Quát (lái),Bẻ lái sang trái,Quát lái qua cho ghe vô bờ.,Bẻ lái cho thuyền vào bờ.,Quát (lái) [SEP] Bẻ lái sang trái [SEP] Quát lái qua cho ghe vô bờ.,Bẻ lái cho thuyền vào bờ.
Giựt dây dụi,"Giật dây, đứng sau sai khiến người khác làm việc xấu","Thằng đó bị giựt dây dụi nên mới làm như vậy, bình thường nó đâu có dám","Thằng đó có người đứng sau giật dây nên mới làm thế, chứ bình thường nó nhát lắm","Giựt dây dụi [SEP] Giật dây, đứng sau sai khiến người khác làm việc xấu [SEP] Thằng đó bị giựt dây dụi nên mới làm như vậy, bình thường nó đâu có dám","Thằng đó có người đứng sau giật dây nên mới làm thế, chứ bình thường nó nhát lắm"
Chày vồ,"Cái chày gỗ lớn, cầm bằng hai tay để quết nhuyễn",Cái chày về nặng như thế này quết bánh phồng mới là hết ý,Cái chày lớn nặng thế này đem giã bánh phồng thì hết ý,"Chày vồ [SEP] Cái chày gỗ lớn, cầm bằng hai tay để quết nhuyễn [SEP] Cái chày về nặng như thế này quết bánh phồng mới là hết ý",Cái chày lớn nặng thế này đem giã bánh phồng thì hết ý
Khới,"1. Khơi, khêu ra, bới, moi móc để tìm.","Bả ở không quá đi nên toàn khới chuyện người ta, dẹp đi!","Bà ấy rảnh rỗi quá nên toàn moi móc chuyện người ta, dẹp đi!","Khới [SEP] 1. Khơi, khêu ra, bới, moi móc để tìm. [SEP] Bả ở không quá đi nên toàn khới chuyện người ta, dẹp đi!","Bà ấy rảnh rỗi quá nên toàn moi móc chuyện người ta, dẹp đi!"
Xá xẩu,Đồ cổ đứng của người Hoa Hoặc gọi người Hoa,Áo theo lối xá xẩu nhìn ngộ thiệt.,Áo theo kiểu truyền thống người Hoa đẹp thật.,Xá xẩu [SEP] Đồ cổ đứng của người Hoa Hoặc gọi người Hoa [SEP] Áo theo lối xá xẩu nhìn ngộ thiệt.,Áo theo kiểu truyền thống người Hoa đẹp thật.
Chửi tắt bếp,"Chửi vô cùng thậm tệ, chửi ra rả không kịp vuốt mặt",Mày đụng đến bà già trầu làm chi cho bả chửi tắt bếp thấy hôn,Cậu đụng chạm bà già hay ăn trầu làm gì để bà ấy chửi cho vuốt mặt không kịp thấy chưa,"Chửi tắt bếp [SEP] Chửi vô cùng thậm tệ, chửi ra rả không kịp vuốt mặt [SEP] Mày đụng đến bà già trầu làm chi cho bả chửi tắt bếp thấy hôn",Cậu đụng chạm bà già hay ăn trầu làm gì để bà ấy chửi cho vuốt mặt không kịp thấy chưa
